Latitude,Longitude,Bedrooms,Bathrooms,Square Feet,Year Built
33.53709329,-84.43649622,3,2,1578,1984
29.70557205,-95.38075501,2,1,1170,1952
33.56198103,-83.96181372,3,2,1460,2003
29.59876566,-95.56388862,3,3,1817,2001
33.5954682,-112.000828,3,2,1089,1972
30.45288625,-95.48217323,4,2,1667,2001
25.68626643,-80.3466757,4,2,1575,1954
29.8454243,-95.73196122,3,2.1,2273,2013
36.03837849,-115.1286853,4,3,2066,2003
29.90754281,-95.67614941,3,2,1115,2006
36.24790326,-115.2486559,3,2,1222,2005
29.53166384,-95.20660768,4,2,1778,1984
36.26875799,-115.2192116,3,2,1709,2003
29.67269194,-95.68871334,4,2.1,2322,2010
29.58205678,-95.74586502,3,2,1884,2019
29.90983609,-95.58713386,3,2,1516,1983
29.94672552,-95.4678077,4,2.1,2253,1973
30.1950979,-95.53147109,2,2,1279,1988
29.81754391,-95.8253525,3,2,1411,1982
29.59746962,-95.76130668,4,2.1,1973,2022
29.73786657,-95.80315009,4,3,2737,2010
29.78140912,-95.86439149,4,3.1,2921,2015
34.02858278,-83.90393059,3,2,1879,2006
29.90422472,-95.71557438,4,2.1,2870,2004
33.04475508,-96.76050834,4,2,2096,1978
29.97771523,-95.40968523,4,2.1,1834,2015
32.25408826,-110.8916024,3,2,1199,1954
29.52834017,-95.45154361,4,2,1730,2012
33.08941099,-97.24552978,4,2,2036,2015
29.49150861,-95.03063452,3,2,1259,2005
32.88474389,-97.25216905,3,2,1744,1990
29.56564537,-95.58459377,4,3,2844,2006
33.35127508,-97.16112424,3,2,1576,2004
29.94398809,-95.22075091,4,2,1666,2005
33.55129344,-112.178067,3,2,1225,1972
30.34675928,-95.59431335,3,2,1092,2023
32.81940772,-97.21544778,4,2,1415,1970
29.81217524,-95.68522318,3,2.1,1521,2020
30.07279359,-95.20533731,4,2.1,2024,1979
35.99922897,-115.1390239,5,3,2496,2000
30.10051293,-95.40103761,3,2.2,1918,2006
29.8697077,-95.51484628,3,2,1718,2004
29.89128796,-95.71910234,3,2,1108,1983
30.00813968,-95.3647233,2,2.1,1702,2022
29.63723383,-95.65061449,4,2.1,2091,1995
29.96856559,-95.43917717,3,2.1,1415,2021
30.08128855,-95.34081118,3,2.1,1826,2000
30.0286269,-95.33366376,4,3,2275,2018
29.95074074,-95.16607269,4,2,2315,2016
36.03088176,-115.2500523,4,4,2989,2021
29.6803046,-95.35971218,3,2.1,1458,2006
36.13790624,-115.3187913,4,3,2459,2017
30.14119741,-95.38572933,5,4.1,4609,2018
36.15337224,-115.3548283,4,3,2085,2023
30.21060342,-95.56113534,3,2,1190,2006
36.22198825,-115.3185409,3,3,2195,1998
36.20187012,-115.2453525,4,3,2559,1995
36.15376325,-115.3297406,3,4,3291,2018
29.48107358,-95.12657442,3,2,1597,2010
36.29067401,-115.2466426,3,3,2028,2001
36.04512208,-115.0297198,4,3,1883,2023
35.98670125,-115.2433095,4,3,2142,2023
36.05578554,-115.031592,4,3,1785,2013
36.16935209,-115.2449907,3,2,1293,1994
35.99769668,-115.1631668,4,3,2361,2005
36.08781845,-114.9173589,3,5,2121,1992
36.02482615,-115.1327259,3,3,1338,2005
36.01578157,-115.199365,4,3,2753,2013
36.1708409,-115.29189,3,4,3985,1997
35.90604999,-115.1388397,3,3,2351,2013
36.26010046,-115.3018703,4,3,1610,2005
36.03961672,-115.2201236,4,3,2451,2003
36.26427497,-115.083669,4,3,2808,2005
36.07201465,-115.1411095,3,2,1120,1983
36.0341656,-115.2517492,5,3,3333,2001
36.10641922,-115.2955597,4,2,1905,2001
35.90694719,-115.0862097,3,3,2072,2007
